Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date  
S50H19,BH-00384,B,1,1089.20,0.00,17.10,1.20,0.00,18.30 14032019 
S50H19,BH-00439,B,9,1084.80,0.00,153.90,10.77,0.00,164.67
S50H19,BH-00440,B,16,1084.80,0.00,273.60,19.15,0.00,292.75  15032019
S50H19,BU-00515,B,6,1080.00,0.00,102.60,7.18,0.00,109.78
S50H19,BU-00516,B,1,1080.00,0.00,17.10,1.20,0.00,18.30
S50H19,BU-00517,B,13,1080.00,0.00,222.30,15.56,0.00,237.86
S50H19,BU-00518,B,7,1076.90,0.00,119.70,8.38,0.00,128.08
S50H19,BU-00519,B,13,1076.90,0.00,222.30,15.56,0.00,237.86
S50H19,SE-00520,S,17,1071.90,0.00,290.70,20.35,0.00,311.05
S50H19,SE-00521,S,18,1071.80,0.00,307.80,21.55,0.00,329.35
S50H19,SE-00522,S,5,1072.50,0.00,85.50,5.99,0.00,91.49
S50H19,BU-00523,B,5,1071.40,0.00,85.50,5.99,0.00,91.49
S50H19,SE-00524,S,5,1072.70,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00525,S,2,1072.90,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00526,S,3,1072.90,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00527,S,2,1072.90,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00528,S,3,1072.90,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00529,S,5,1073.10,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00530,S,5,1073.10,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00531,S,6,1076.10,0.00,102.60,7.18,0.00,109.78
S50H19,SH-00532,S,5,1076.10,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00533,S,19,1076.10,0.00,324.90,22.74,0.00,347.64
S50H19,BH-00534,B,15,1074.00,0.00,256.50,17.96,0.00,274.46
S50H19,BH-00535,B,6,1074.00,0.00,102.60,7.18,0.00,109.78
S50H19,BH-00536,B,25,1074.00,0.00,427.50,29.93,0.00,457.43
S50H19,BH-00537,B,4,1074.00,0.00,68.40,4.79,0.00,73.19 18032019
S50H19,BU-00638,B,3,1073.90,0.00,51.30,3.59,0.00,54.89
S50H19,BU-00639,B,9,1073.90,0.00,153.90,10.77,0.00,164.67
S50H19,BU-00640,B,2,1073.90,0.00,34.20,2.39,0.00,36.59
S50H19,BU-00641,B,1,1073.90,0.00,17.10,1.20,0.00,18.30
S50H19,BU-00642,B,5,1073.90,0.00,85.50,5.99,0.00,91.49
S50H19,SE-00643,S,4,1087.00,0.00,68.40,4.79,0.00,73.19
S50H19,SE-00644,S,1,1087.00,0.00,17.10,1.20,0.00,18.30
S50H19,SE-00645,S,7,1087.00,0.00,119.70,8.37,0.00,128.07
S50H19P1075,BH-00646,B,1,5.70,-1140.00,35.10,2.46,0.00,37.56
S50H19P1075,BH-00647,B,1,5.70,-1140.00,35.10,2.46,0.00,37.56
S50H19P1075,BH-00648,B,3,5.70,-3420.00,105.30,7.37,0.00,112.67
S50H19P1100,SH-00649,S,5,20.60,20600.00,175.50,12.29,0.00,187.79  19032019
S50H19,SE-00408,S,8,1084.50,0.00,136.80,9.58,0.00,146.38
S50H19,SH-00409,S,20,1084.50,0.00,342.00,23.94,0.00,365.94
S50H19,BH-00410,B,1,1083.30,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00411,B,5,1083.30,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00412,B,1,1083.30,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00413,B,2,1083.30,0.00,34.20,2.39,0.00,36.59
S50H19,BH-00414,B,1,1083.30,0.00,17.10,1.19,0.00,18.29 20032019
S50H19,SH-00515,S,1,1088.10,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00516,S,2,1088.10,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00517,S,2,1088.10,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00518,S,5,1088.10,0.00,85.50,5.99,0.00,91.49
S50H19,BU-00519,B,2,1089.90,0.00,34.20,2.39,0.00,36.59
S50H19,BU-00520,B,1,1089.90,0.00,17.10,1.20,0.00,18.30
S50H19,BU-00521,B,3,1089.90,0.00,51.30,3.59,0.00,54.89
S50H19,BU-00522,B,1,1089.90,0.00,17.10,1.20,0.00,18.30
