Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date   
S50Z18,BU-00349,B,5,1076.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SE-00350,S,1,1076.40,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00351,S,4,1076.40,0.00,68.40,4.79,0.00,73.19
S50Z18,SH-00352,S,5,1078.20,0.00,85.50,5.99,0.00,91.49
S50Z18,BU-00353,B,1,1082.50,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00354,B,1,1082.50,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00355,B,3,1082.50,0.00,51.30,3.59,0.00,54.89
S50Z18,BU-00356,B,10,1083.20,0.00,171.00,11.97,0.00,182.97
S50Z18,BU-00357,B,1,1083.20,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00358,B,9,1083.20,0.00,153.90,10.77,0.00,164.67
S50Z18,SH-00359,S,20,1083.20,0.00,342.00,23.94,0.00,365.94
S50Z18,SH-00360,S,3,1083.10,0.00,51.30,3.59,0.00,54.89
S50Z18,SH-00361,S,2,1083.10,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00362,B,5,1079.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00363,S,5,1079.50,0.00,85.50,5.97,0.00,91.47
S50Z18C1100,BH-00364,B,5,19.60,-19600.00,175.50,12.29,0.00,187.79
S50Z18C1125,BH-00365,B,6,13.50,-16200.00,210.60,14.74,0.00,225.34
S50Z18C1125,BH-00366,B,3,13.80,-8280.00,105.30,7.37,0.00,112.67
S50Z18C1125,BH-00367,B,1,13.80,-2760.00,35.10,2.46,0.00,37.56   30102018
S50Z18,SH-00446,S,3,1100.00,0.00,51.30,3.59,0.00,54.89
S50Z18C1100,SH-00447,S,5,28.00,28000.00,175.50,12.29,0.00,187.79  31102018
S50Z18,SH-00570,S,7,1101.00,0.00,119.70,8.38,0.00,128.08
S50Z18,SH-00571,S,1,1101.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00572,S,12,1101.00,0.00,205.20,14.36,0.00,219.56  01112018
S50Z18,BH-00366,B,10,1113.90,0.00,171.00,11.97,0.00,182.97
S50Z18,BH-00367,B,2,1113.90,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00368,B,1,1113.90,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00369,B,7,1113.90,0.00,119.70,8.38,0.00,128.08
S50Z18,BU-00370,B,1,1113.50,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00371,B,5,1113.50,0.00,85.50,5.99,0.00,91.49
S50Z18,BU-00372,B,14,1113.50,0.00,239.40,16.76,0.00,256.16
S50Z18,BU-00373,B,2,1113.00,0.00,34.20,2.39,0.00,36.59
S50Z18,BU-00374,B,5,1113.00,0.00,85.50,5.99,0.00,91.49
S50Z18,BU-00375,B,1,1113.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00376,S,2,1113.50,0.00,34.20,2.39,0.00,36.59
S50Z18,SH-00377,S,9,1113.50,0.00,153.90,10.77,0.00,164.67
S50Z18,SH-00378,S,2,1113.50,0.00,34.20,2.39,0.00,36.59
S50Z18,SH-00379,S,1,1113.50,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00380,S,6,1113.50,0.00,102.60,7.18,0.00,109.78
S50Z18,SH-00381,S,3,1110.00,0.00,51.30,3.59,0.00,54.89
S50Z18,SH-00382,S,5,1110.00,0.00,85.50,5.98,0.00,91.48
S50Z18C1050,SH-00383,S,1,70.10,14020.00,35.10,2.46,0.00,37.56
S50Z18C1050,SH-00384,S,5,71.00,71000.00,175.50,12.29,0.00,187.79
S50Z18C1050,SH-00385,S,2,71.50,28600.00,70.20,4.91,0.00,75.11
S50Z18C1050,SH-00386,S,8,71.50,114400.00,280.80,19.66,0.00,300.46
S50Z18C1050,SH-00387,S,1,72.00,14400.00,35.10,2.46,0.00,37.56
S50Z18C1050,SH-00388,S,3,72.00,43200.00,105.30,7.37,0.00,112.67
S50Z18C1075,SH-00389,S,5,50.20,50200.00,175.50,12.29,0.00,187.79
S50Z18C1125,BH-00390,B,3,22.00,-13200.00,105.30,7.37,0.00,112.67
S50Z18C1125,BH-00391,B,2,22.00,-8800.00,70.20,4.91,0.00,75.11
S50Z18C1125,BH-00392,B,1,21.80,-4360.00,35.10,2.46,0.00,37.56
S50Z18C1125,BH-00393,B,4,21.80,-17440.00,140.40,9.83,0.00,150.23
S50Z18C1125,BU-00394,B,1,23.50,-4700.00,35.10,2.46,0.00,37.56
S50Z18C1125,BU-00395,B,1,23.50,-4700.00,35.10,2.46,0.00,37.56
S50Z18C1125,BU-00396,B,5,23.50,-23500.00,175.50,12.29,0.00,187.79
S50Z18C1125,BU-00397,B,1,23.50,-4700.00,35.10,2.46,0.00,37.56
S50Z18C1125,BU-00398,B,2,23.50,-9400.00,70.20,4.89,0.00,75.09   02112018
S50Z18,SH-00252,S,1,1099.60,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00253,S,8,1099.60,0.00,136.80,9.58,0.00,146.38
S50Z18,SH-00254,S,3,1099.60,0.00,51.30,3.59,0.00,54.89
S50Z18,SH-00255,S,3,1099.60,0.00,51.30,3.59,0.00,54.89
S50Z18,SH-00256,S,1,1099.60,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00257,S,2,1099.60,0.00,34.20,2.39,0.00,36.59
S50Z18,SH-00258,S,1,1099.60,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00259,S,1,1099.60,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00260,B,3,1100.80,0.00,51.30,3.59,0.00,54.89
S50Z18,BH-00261,B,1,1100.80,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00262,B,1,1100.80,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00263,B,2,1100.80,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00264,B,1,1100.80,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00265,B,3,1100.80,0.00,51.30,3.59,0.00,54.89
S50Z18,BH-00266,B,2,1100.80,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00267,B,1,1100.80,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00268,B,3,1100.80,0.00,51.30,3.59,0.00,54.89
S50Z18,BH-00269,B,1,1100.80,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00270,B,1,1100.80,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00271,B,1,1100.80,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00272,S,20,1101.50,0.00,342.00,23.94,0.00,365.94
S50Z18,BU-00273,B,3,1101.40,0.00,51.30,3.59,0.00,54.89
S50Z18,BU-00274,B,1,1101.40,0.00,17.10,1.20,0.00,18.30
S50Z18,BU-00275,B,16,1101.40,0.00,273.60,19.13,0.00,292.73  05112018
S50Z18,SH-00410,S,5,1108.50,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00411,S,1,1112.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00412,S,18,1112.00,0.00,307.80,21.55,0.00,329.35
S50Z18,SH-00413,S,1,1112.00,0.00,17.10,1.19,0.00,18.29   06112018
S50Z18,BH-02975,B,20,1107.70,0.00,342.00,23.94,0.00,365.94
S50Z18,BH-02976,B,13,1107.50,0.00,222.30,15.56,0.00,237.86
S50Z18,SH-02977,S,2,1111.00,0.00,34.20,2.39,0.00,36.59
S50Z18,SH-02978,S,3,1112.00,0.00,51.30,3.59,0.00,54.89
S50Z18,SH-02979,S,5,1112.50,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-02980,S,5,1114.00,0.00,85.50,5.99,0.00,91.49
S50Z18P1000,BU-02981,B,6,3.00,-3600.00,210.60,14.74,0.00,225.34
S50Z18P1000,BU-02982,B,4,3.00,-2400.00,140.40,9.83,0.00,150.23
S50Z18P1000,BU-02983,B,10,2.80,-5600.00,351.00,24.57,0.00,375.57
S50Z18P1000,BU-02984,B,9,2.60,-4680.00,315.90,22.11,0.00,338.01  07112018
S50Z18,BH-00376,B,1,1105.90,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00377,B,1,1105.90,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00378,B,4,1105.90,0.00,68.40,4.79,0.00,73.19
S50Z18,BH-00379,B,1,1105.90,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00380,B,2,1105.90,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00381,B,1,1106.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00382,S,20,1106.00,0.00,342.00,23.94,0.00,365.94
S50Z18,BH-00383,B,8,1105.50,0.00,136.80,9.58,0.00,146.38
S50Z18,BH-00384,B,1,1105.50,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00385,B,1,1105.50,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00386,B,5,1105.50,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00387,B,1,1105.50,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00388,B,4,1105.50,0.00,68.40,4.76,0.00,73.16
S50Z18C1100,SH-00389,S,1,25.00,5000.00,35.10,2.46,0.00,37.56
S50Z18C1100,SH-00390,S,4,25.00,20000.00,140.40,9.83,0.00,150.23
S50Z18C1100,SH-00391,S,5,25.00,25000.00,175.50,12.29,0.00,187.79
S50Z18P1075,BH-00392,B,5,15.10,-15100.00,175.50,12.29,0.00,187.79
S50Z18P1125,BH-00393,B,4,40.00,-32000.00,140.40,9.83,0.00,150.23
S50Z18P1125,BH-00394,B,1,40.00,-8000.00,35.10,2.43,0.00,37.53   12112018
S50Z18,SH-00481,S,5,1094.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00482,S,5,1096.00,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00483,B,10,1094.00,0.00,171.00,11.97,0.00,182.97
S50Z18,SH-00484,S,5,1097.00,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00485,B,5,1094.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00486,S,5,1096.20,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00487,B,3,1095.60,0.00,51.30,3.59,0.00,54.89
S50Z18,BH-00488,B,2,1095.60,0.00,34.20,2.39,0.00,36.59
S50Z18,SH-00489,S,1,1100.50,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00490,S,4,1100.50,0.00,68.40,4.79,0.00,73.19
S50Z18,SH-00491,S,5,1105.00,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00492,B,5,1097.60,0.00,85.50,5.99,0.00,91.49
S50Z18,BH-00493,B,5,1097.50,0.00,85.50,5.95,0.00,91.45   13112018
S50Z18,SH-00495,S,5,1097.50,0.00,85.50,5.99,0.00,91.49   14112018
S50Z18,BH-00558,B,2,1099.70,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00559,B,2,1100.00,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00560,B,1,1100.00,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00561,B,1,1100.00,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00562,B,1,1100.00,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00563,B,3,1100.00,0.00,51.30,3.59,0.00,54.89
S50Z18,BU-00564,B,5,1096.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SE-00565,S,5,1096.50,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00566,S,6,1095.60,0.00,102.60,7.18,0.00,109.78
S50Z18,SH-00567,S,1,1095.60,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00568,S,3,1095.60,0.00,51.30,3.59,0.00,54.89
S50Z18,BH-00569,B,5,1084.80,0.00,85.50,5.98,0.00,91.48
S50Z18C1100,BH-00570,B,4,21.00,-16800.00,140.40,9.83,0.00,150.23
S50Z18C1100,BH-00571,B,1,21.00,-4200.00,35.10,2.46,0.00,37.56   15112018
S50Z18,BH-00483,B,2,1089.50,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00484,B,3,1089.50,0.00,51.30,3.60,0.00,54.90
S50Z18C1050,BH-00485,B,5,47.00,-47000.00,175.50,12.29,0.00,187.79
S50Z18C1125,SE-00486,S,1,9.70,1940.00,35.10,2.45,0.00,37.55   16112018
S50Z18,SH-00381,S,4,1086.60,0.00,68.40,4.79,0.00,73.19
S50Z18,SH-00382,S,8,1086.60,0.00,136.80,9.58,0.00,146.38
S50Z18,SH-00383,S,5,1086.60,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00384,S,3,1086.60,0.00,51.30,3.59,0.00,54.89
S50Z18,BH-00385,B,20,1086.80,0.00,342.00,23.94,0.00,365.94
S50Z18,BU-00386,B,5,1087.00,0.00,85.50,5.98,0.00,91.48
S50Z18C1050,BU-00387,B,10,48.80,-97600.00,351.00,24.57,0.00,375.57
S50Z18C1125,SE-00388,S,1,9.80,1960.00,35.10,2.46,0.00,37.56
S50Z18C1125,SE-00389,S,1,10.00,2000.00,35.10,2.46,0.00,37.56
S50Z18P1000,SE-00390,S,8,2.50,4000.00,280.80,19.66,0.00,300.46
S50Z18P1000,SE-00391,S,10,2.50,5000.00,351.00,24.57,0.00,375.57
S50Z18P1025,SH-00392,S,10,4.80,9600.00,351.00,24.57,0.00,375.57
S50Z18P1050,SH-00393,S,2,9.00,3600.00,70.20,4.91,0.00,75.11
S50Z18P1050,SH-00394,S,1,9.00,1800.00,35.10,2.46,0.00,37.56
S50Z18P1050,SH-00395,S,5,9.00,9000.00,175.50,12.29,0.00,187.79
S50Z18P1050,BU-00396,B,10,8.80,-17600.00,351.00,24.57,0.00,375.57
S50Z18P1075,BU-00397,B,2,17.00,-6800.00,70.20,4.91,0.00,75.11
S50Z18P1075,BU-00398,B,1,17.00,-3400.00,35.10,2.46,0.00,37.56
S50Z18P1075,BU-00399,B,1,17.00,-3400.00,35.10,2.46,0.00,37.56
S50Z18P1075,BU-00400,B,4,17.00,-13600.00,140.40,9.83,0.00,150.23
S50Z18P1075,BU-00401,B,10,17.00,-34000.00,351.00,24.57,0.00,375.57
S50Z18P1075,BU-00402,B,2,17.00,-6800.00,70.20,4.90,0.00,75.10   19112018
S50Z18,SH-00548,S,14,1082.20,0.00,239.40,16.76,0.00,256.16
S50Z18,SH-00549,S,1,1082.20,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00550,S,5,1082.20,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00551,S,1,1082.40,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00552,S,2,1082.40,0.00,34.20,2.39,0.00,36.59
S50Z18,SH-00553,S,2,1082.40,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00554,B,1,1079.70,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00555,B,1,1079.70,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00556,B,3,1079.70,0.00,51.30,3.59,0.00,54.89
