Series	Contract No.	BuySell	Contract	Price	Premium Amount	Brokerage Fee	VAT	WH	Charge Amount   Date   
S50Z18	SE-00272	S	2	1,084.40	0.00	34.20	2.39	0.00	36.59
S50Z18	SE-00273	S	1	1,084.40	0.00	17.10	1.20	0.00	18.30
S50Z18	SE-00274	S	2	1,084.40	0.00	34.20	2.39	0.00	36.59
S50Z18	SE-00275	S	1	1,086.50	0.00	17.10	1.20	0.00	18.30
S50Z18	SE-00276	S	2	1,086.50	0.00	34.20	2.39	0.00	36.59
S50Z18	SE-00277	S	2	1,086.50	0.00	34.20	2.40	0.00	36.60   27112018
S50Z18C1100	SE-00491	S	3	14.50	8,700.00	105.30	7.37	0.00	112.67  28112018
S50Z18C1100	SE-00384	S	1	16.00	3,200.00	35.10	2.46	0.00	37.56
S50Z18C1100	SE-00385	S	2	16.00	6,400.00	70.20	4.91	0.00	75.11   29112018
S50Z18	BU-00469	B	10	1,088.00	0.00	171.00	11.97	0.00	182.97
S50Z18	SE-00470	S	5	1,093.00	0.00	85.50	5.99	0.00	91.49
S50Z18	SE-00471	S	5	1,096.50	0.00	85.50	5.98	0.00	91.48   30112018
S50Z18C1100	SE-00384	S	15	22.00	3,200.00	35.10	2.46	0.00	37.56
S50Z18C1125	SE-00384	L	13	12.60	3,200.00	35.10	2.46	0.00	37.56
S50Z18P1150	SE-00384	L	7	41.00	3,200.00	35.10	2.46	0.00	37.56
S50Z18	SH-00782	S	3	1,115.10	0.00	51.30	3.59	0.00	54.89
S50Z18	SH-00783	S	2	1,115.10	0.00	34.20	2.39	0.00	36.59
S50Z18	SH-00784	S	2	1,115.10	0.00	34.20	2.39	0.00	36.59
S50Z18	SH-00785	S	4	1,115.10	0.00	68.40	4.79	0.00	73.19
S50Z18	SH-00786	S	2	1,115.10	0.00	34.20	2.39	0.00	36.59
S50Z18	SH-00787	S	1	1,115.10	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00788	S	1	1,115.10	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00789	S	1	1,115.10	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00790	S	4	1,115.10	0.00	68.40	4.79	0.00	73.19
S50Z18	BH-00791	B	12	1,115.70	0.00	205.20	14.36	0.00	219.56
S50Z18	BH-00792	B	8	1,115.70	0.00	136.80	9.58	0.00	146.38
S50Z18	SH-00793	S	2	1,115.20	0.00	34.20	2.39	0.00	36.59
S50Z18	SH-00794	S	5	1,115.20	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00795	S	3	1,115.20	0.00	51.30	3.59	0.00	54.89
S50Z18	SH-00796	S	1	1,115.20	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00797	S	1	1,115.20	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00798	S	2	1,115.20	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00799	B	1	1,115.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00800	B	1	1,115.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00801	B	1	1,115.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00802	B	2	1,115.50	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00803	B	5	1,115.50	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00804	B	1	1,115.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00805	B	3	1,115.50	0.00	51.30	3.59	0.00	54.89
S50Z18	SH-00806	S	5	1,115.50	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00807	S	15	1,115.50	0.00	256.50	17.96	0.00	274.46
S50Z18	BH-00808	B	8	1,118.00	0.00	136.80	9.58	0.00	146.38
S50Z18	BH-00809	B	7	1,118.00	0.00	119.70	8.38	0.00	128.08
S50Z18	SH-00810	S	10	1,119.50	0.00	171.00	11.97	0.00	182.97
S50Z18	BH-00811	B	7	1,119.80	0.00	119.70	8.38	0.00	128.08
S50Z18	BH-00812	B	2	1,119.80	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00813	B	1	1,119.80	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00814	S	2	1,119.90	0.00	34.20	2.39	0.00	36.59
S50Z18	SH-00815	S	3	1,119.90	0.00	51.30	3.56	0.00	54.86
S50Z18C1100	SE-00816	S	5	21.50	21,500.00	175.50	12.29	0.00	187.79
S50Z18C1100	SE-00817	S	5	22.00	22,000.00	175.50	12.29	0.00	187.79
S50Z18C1100	SE-00818	S	5	22.00	22,000.00	175.50	12.29	0.00	187.79
S50Z18C1125	BH-00819	B	2	12.40	-4,960.00	70.20	4.91	0.00	75.11
S50Z18C1125	BH-00820	B	3	12.50	-7,500.00	105.30	7.37	0.00	112.67
S50Z18C1125	BH-00821	B	1	12.50	-2,500.00	35.10	2.46	0.00	37.56
S50Z18C1125	BH-00822	B	1	12.50	-2,500.00	35.10	2.46	0.00	37.56
S50Z18C1125	BH-00823	B	1	12.60	-2,520.00	35.10	2.46	0.00	37.56
S50Z18C1125	BH-00824	B	4	12.60	-10,080.00	140.40	9.83	0.00	150.23
S50Z18C1125	BH-00825	B	1	12.60	-2,520.00	35.10	2.46	0.00	37.56
S50Z18C1125	BH-00826	B	4	15.90	-12,720.00	140.40	9.83	0.00	150.23
S50Z18C1125	BH-00827	B	1	15.90	-3,180.00	35.10	2.46	0.00	37.56
S50Z18P1100	BU-00828	B	2	12.50	-5,000.00	70.20	4.91	0.00	75.11
S50Z18P1100	BU-00829	B	2	12.50	-5,000.00	70.20	4.91	0.00	75.11
S50Z18P1100	BU-00830	B	1	12.50	-2,500.00	35.10	2.46	0.00	37.56
S50Z18P1100	BU-00831	B	5	10.80	-10,800.00	175.50	12.29	0.00	187.79
S50Z18P1100	BU-00832	B	1	10.80	-2,160.00	35.10	2.46	0.00	37.56
S50Z18P1100	BU-00833	B	1	10.80	-2,160.00	35.10	2.46	0.00	37.56
S50Z18P1100	BU-00834	B	3	10.80	-6,480.00	105.30	7.37	0.00	112.67
S50Z18P1100	BU-00835	B	7	10.00	-14,000.00	245.70	17.20	0.00	262.90
S50Z18P1100	BU-00836	B	1	10.00	-2,000.00	35.10	2.46	0.00	37.56
S50Z18P1100	BU-00837	B	1	10.00	-2,000.00	35.10	2.46	0.00	37.56
S50Z18P1100	BU-00838	B	1	10.00	-2,000.00	35.10	2.46	0.00	37.56
S50Z18P1150	BU-00839	B	7	41.00	-57,400.00	245.70	17.16	0.00	262.86  03122018
S50Z18	BH-00339	B	2	1,118.50	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00340	B	2	1,118.50	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00341	B	1	1,118.50	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00342	S	5	1,120.10	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00343	B	4	1,120.10	0.00	68.40	4.79	0.00	73.19
S50Z18	BH-00344	B	1	1,120.10	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00345	S	5	1,120.60	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00346	B	2	1,119.20	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00347	B	1	1,119.20	0.00	17.10	1.20	0.00	18.30
